code	english	definition	translation
52	acid	A compound capable of transferring a hydrogen ion in solution.	turşu
54	acoustic filter	A device employed to reject sound in a particular range of frequencies while passing sound in another range of frequencies.	akustik filtr
55	acoustic insulation	The process of preventing the transmission of sound by surrounding with a nonconducting material.	səs izolyasiyası
57	acoustic level	"Physical quantity of sound measured, usually expressed in decibels."	səs səviyyəsi
59	acoustic property	The characteristics found within a structure that determine the quality of sound in its relevance to hearing.	akustik xüsusiyyətlər
60	acoustics	"The science of the production, transmission and effects of sound."	akustika
66	actinide	"A group of 15 radioactive elements some of which occur naturally while others are produced in nuclear reactions. They include plutonium, americium and neptunium. The health hazard presented by the actinides, if they are released into the environment, comes from the potency of their radioactive characteristics. They are alpha-emitters, and therefore can cause intense localized damage in tissues if absorbed into the body."	aktinid
68	actinium	"A radioactive element of the actinide series, occurring as a decay product of uranium. It is used as an alpha particle source and in neutron production."	aktinium
71	action group	A collection of persons united to address specific sociopolitical or socioeconomic concerns.	fəallar qrupu
72	activated carbon	"A powdered, granular or pelleted form of amorphous carbon characterized by a very large surface area per unit volume because of an enormous number of fine pores."	aktivləşdirilmiş kömür
73	activated sludge	Sludge that has been aerated and subjected to bacterial action; used to speed breakdown of organism matter in raw sewage during secondary waste treatment.	aktiv lil 
77	active participation	"The involvement, either by an individual or a group of individuals, in their own governance or other activities, with the purpose of exerting influence."	aktiv iştirak
78	intervention on land	Stepping in or participating in problem solving efforts for troublesome or perplexing situations involving ground areas or the earth's surface.	quruda müdaxilə
79	act	"1) Something done voluntarily by a person, and of such a nature that certain legal consequences attach to it.
2) Documents, decrees, edicts, laws, judgments, etc."	akt
81	adaptable species		adaptasiya olan növlər
83	adaptation period		adaptasiya müddəti
84	chemical addition	Chemical reaction in which one or more of the double bonds or triple bonds in an unsaturated compound is converted to a single bond by the addition of other atoms or groups.	birləşmə reaksiyası
86	additional packaging	Additional packaging around the normal sales packaging. For example as protection against theft or for the purpose of advertising; the customer may leave the additional packaging in the shop for waste collection.	əlavə qablaşdırma 
87	addition polymer	"A polymer formed by the chain addition of unsaturated monomer molecules, such as olefins, with one another without the formation of a by-product, as water; examples are polyethylene, polypropylene and polystyrene."	birləşmə reaksiyası nəticəsində əldə olunan polimer
88	additive	"Substances mixed in small quantities with another product to modify its chemical or physical state. Additives are used to make food look visually more attractive, in the case of colouring agents, as well as to preserve and extend the life of the product."	"aşqarlar, əlavələr"
90	adhesive	"Substance used for sticking objects together, such as glue, cement, or paste."	adheziv maddələr
91	acceptable daily intake	"The measurement of the amount of any chemical substance that can be safely consumed by a human being in a day. Calculations are usually based on the maximum level of a substance that can be fed to animals without producing any harmful effects. This is divided by a ""safety factor"" to allow for the differences between animals and humans and to take account of the variation in human diets."	məqbul gündəlik istehlak norması
95	administration	"The management or direction of the affairs of a public or private office, business or organization."	idarəetmə
100	administrative body	"Any governmental agency or organization charged with managing and implementing regulations, laws and government policies."	inzibati qurum
103	administrative competence	"The skill, knowledge, qualification, capacity or authority to manage or direct the affairs of a public or private office, business or organization."	inzibatçılıq qabiliyyəti
105	administrative fiat	"An authoritative decree, sanction or order issued from an office with executive or managerial authority, without necessarily having the force of law or its equivalent."	inzibati əmr
107	administrative jurisdiction	"The extent, power or territory in which an office with executive or managerial authority administers justice or declares judgments."	inzibati yurisdiksiya
108	administrative law	"Body of law created by administrative agencies in the form of rules, regulations, orders and decisions to carry out regulatory powers and duties of such agencies."	inzibati hüquq
111	administrative procedure		inzibati prosedur
112	administrative sanction	"Generally, any formal official imposition of penalty or fine; destruction, taking, seizure, or withholding of property; assessment of damages, reimbursement, restitution, compensation, costs, charges or fees; requirement, revocation or suspension of license; and taking other compulsory or restrictive action by organization, agency or its representative."	inzibati sanksiya
120	adsorption	"The physical or chemical bonding of molecules of gas, liquid or a dissolved substance to the external surface of a solid or the internal surface, if the material is porous, in a very thin layer."	adsorbsiya
121	adult	"A person who is fully grown, developed or of a specified age."	yetkin yaşlı şəxs
122	adult education	"Any instruction or training, informal or formal, which is geared to persons of mature age, regardless of previous education, and typically offered by university extension programs, employers, correspondence courses or community groups."	yaşlı əhalinin təlimi
126	advertisement	"The action of drawing public attention to goods, services or events, often through paid announcements in newspapers, magazines, television or radio."	reklam
129	product advertising	"The creation and dissemination of paid announcements or public notices to draw attention to goods, services or events offered by some entity, usually for purchase."	məhsul reklamı
130	advice	"An official notice, opinion, counsel or recommendation that is optional or at the receiver's discretion."	məsləhət
132	aeration	Exposition to the action of air.	aerasiya
135	aerial photograph	"An image of the ground surface made on a light-sensitive material and taken at a high altitude from an aircraft, spacecraft or rocket."	aerofototəsvir
143	aerobic condition	Life common to the majority of animal and plants species requiring the presence of oxygen.	aerob şərait
146	aerobic process	A process requiring the presence of oxygen.	aerob proses
148	aerobiology	"The study of the atmospheric dispersal of airborne fungus spores, pollen grains, and microorganisms; and, more broadly, of airborne propagules of algae and protozoans, minute insects such as aphids, and pollution gases and particles which exert specific biologic effects."	aerobiologiya
151	aerodynamic noise	Acoustic noise caused by turbulent airflow over the surface of a body.	aerodinamik səs-küy
157	aerosol	A gaseous suspension of ultramicroscopic particles of a liquid or a solid.	aerozol
163	aesthetics	"Considerations, values, and judgements pertaining to the quality of the human perceptual experience (including sight, sound, smell, touch, taste, and movement) evoked by phenomena or components of the environment."	estetika
167	afforestation	"1) Establishment of a new forest by seeding or planting of nonforested land.
2) The planting of trees on land which was previously used for other uses than forestry.
3) The planting of trees in an area, or the management of an area to allow trees to regenerate or colonize naturally, in order to produce a forest."	meşəsalma
170	Africa	"The second largest of the continents, on the Mediterranean in the north, the Atlantic in the west, and the Red Sea, Gulf of Aden, and Indian Ocean in the east. The Sahara desert divides the continent unequally into North Africa and Africa south of Sahara. The largest lake is Lake Victoria and the chief rivers are the Nile, Niger, Congo, and Zambezi. The hottest continent, Africa has vast mineral resources, many of which are still undeveloped."	Afrika
171	afterburning	"An afterburner is a gadget fitted to the exhaust flues of furnaces and also to the exhaust systems of motor vehicles. They remove polluting gases and particles, which are the result of incompletely combusted fuel, by incineration and break down other chemical molecules associated with combustion into inert chemicals."	yanacağın tam yandırılması
173	age	"The period of time that a person, animal or plant has lived or is expected to live."	yaş
182	agreement (legal)	"The coming together in accord of two minds on a given proposition. In law, a concord of understanding and intention between two or more parties with respect to the effect upon their relative rights and duties, of certain past or future facts or performances. The consent of two or more persons concerning respecting the transmission of some property, right, or benefits, with the view of contracting an obligation, a mutual obligation."	saziş (hüquq)
183	agreement (contract)	"An agreement, convention, or promise of two or more parties, by deed in writing, signed, and delivered, by which either of the parties pledges himself to the other that something is either done, or shall be done, or shall not be done, or stipulates for the truth of certain facts."	saziş (müqavilə)
185	agricultural biotechnology		kənd təsərrüfatı biotexnologiyası
186	agricultural building	The buildings and adjacent service areas of a farm.	kənd təsərrüfatı binası
191	agricultural ecology		kənd təsərrüfatının ekologiyası
193	agricultural economics	"An applied social science that deals with the production, distribution, and consumption of agricultural or farming goods and services."	kəns təsərrüfatının iqtisadiyyatı
194	agricultural effluent	"Any solid, liquid or gas that enters the environment as a by-product of agricultural activities."	kənd təsərrüfatı tullantıları
195	agricultural engineering	A discipline concerned with developing and improving the means for providing food and fiber for mankind's needs.	kənd təsərrüfatı mühəndisliyi
197	agricultural equipment	"Machines utilized for tillage, planting, cultivation, and harvesting of crops."	kənd təsərrüfatı avadanlığı
199	agricultural exploitation	No definition needed.	kənd təsərrüfatı istismarı
202	agricultural land	"Land used primarily for the production of plant or animal crops, including arable agriculture, dairying, pasturage, apiaries, horticulture, floriculture, viticulture, animal husbandry and the necessary lands and structures needed for packing, processing, treating, or storing the produce."	kənd təsərrüfatı torpaqları
204	agricultural landscape	No definition needed.	kənd təsərrüfatı landşaftı
206	agricultural legislation	"Agricultural law is a blend of traditional fields of law including the law of contracts, bailments, torts, criminal, environmental, property, nuisance, wills and estates, and tax law. As such, it is a gathering of statutory and common law."	kənd təsərrüfatı qanunvericiliyi
207	agricultural machinery	"Machines utilized for tillage, planting, cultivation and harvesting of crops. Despite its benefits in increasing yields, mechanisation has clearly had some adverse environmental effects: deep ploughing exposes more soil to wind and water erosion; crop residues can be removed as opposed to ploughing back into the soil; removal of residues can lead to a serious loss of organic content in the soil, which may increase the risk of soil erosion."	kənd təsərrüfatı maşınları
208	agricultural management	"The administration or handling of soil, crops and livestock."	kənd təsərrüfatının idarə edilməsi
210	agricultural method	"Practices and techniques employed in agriculture to improve yields and productivity. Over the last few decades they have undergone big changes: tilling, sowing and harvesting have become increasingly mechanised, and the methods of applying fertilisers and pesticides have become more sophisticated. Many changes within the agricultural system can be summed up by ""intensification"". The result and aim of intensification has been to achieve increases in production, yields and labour productivity in agriculture."	kənd təsərrüfatı üsulları
212	agricultural pest	"Insects and mites that damage crops, weeds that compete with field crops for nutrients and water, plants that choke irrigation channels or drainage systems, rodents that eat young plants and grain, and birds that eat seedlings or stored foodstuffs."	kənd təsərrüfatı ziyanvericiləri
213	agricultural planning	"The development of plans and measures to achieve greater and more efficient output from agriculture; a sound agricultural policy should be able to reconcile three basic needs: the production of food and agricultural products, the protection of the environment and the maintenance of the socio-economic structure of rural areas."	kənd təsərrüfatının planlaşdırılması
215	agricultural policy	"A course of action adopted by government or some other organization that determines how to deal with matters involving the cultivation of land; raising crops; feeding, breeding and raising livestock or poultry; and other farming issues."	kənd təsərrüfatı siyasəti
216	agricultural pollution	"The liquid or solid wastes from farming, including: runoff from pesticides, fertilizers, and feedlots; erosion and dust from plowing; animal manure and carcasses, crop residues, and debris."	kənd təsərrüfatı fəaliyyəti nəticəsində çirklənmə
219	agricultural production		kənd təsərrüfatı istehsalı
220	agricultural product	The output of the cultivation of the soil.	kənd təsərrüfatı məhsulları
224	agricultural storage	"Any deposit or holdings of farm products, fertilizers, grains, feed and other related supplies in facilities or containers, often to prevent contamination or for times when production cannot meet demand."	kənd təsərrüfatı məhsullarının saxlanması
229	agricultural waste	"Unusable materials, liquid or solid, that result from agricultural practices, such as fertilizers, pesticides, crop residue (such as orchard prunings) and cattle manure."	kənd təsərrüfatı tullantıları
232	agriculture	"The production of plants and animals useful to man, involving soil cultivation and the breeding and management of crops and livestock."	kənd təsərrüfatı
233	agriculture and cattle industry	Large scale growing of crops and livestock grazing for profit.	kənd təsərrüfatı və heyvandarlıq
235	agriculture framework plan	"A formulated or systematic method for the management of soil, crops and livestock."	kənd təsərrüfatının idarə edilməsi üzrə çərçivə planı
237	agrochemical	"Any substance or mixture of substances used or intended to be used for preventing, destroying, repelling, attracting, inhibiting, or controlling any insects, rodents, birds, nematodes, bacteria, fungi, weeds or other forms of plant, animal or microbial life regarded as pests."	aqrokimyəvi maddə
239	agroforestry	"The interplanting of farm crops and trees, especially leguminous species. In semiarid regions and on denuded hillsides, agroforestry helps control erosion and restores soil fertility, as well as supplying valuable food and commodities at the same time."	aqromeşəçilik
240	agroindustry	"Industry dealing with the supply, processing and distribution of farm products."	aqrosənaye
241	agrometeorology	"The study of the interaction between meteorological and hydrological factors, on the one hand, and agriculture in the widest sense, including horticulture, animal husbandry and forestry, on the other."	aqrometeorologiya
243	AIDS	"The acquired immunodeficiency syndrome is caused by HIV-virus manifested by opportunistic infections and/or malignancies, and the mortality rate is very high. The syndrome results from a breakdown of the body's disease-fighting mechanism that leaves it defenceless against infections, such as pulmonary tuberculosis, Pneumocystis pneumonia, certain blood infections, candidiasis, invasive cervical cancer, Kaposi's sarcoma or any of over 20 other indicator diseases. No effective treatment is available. A striking feature of AIDS is the wide spectrum and frequency of infections with life-threatening pathogens seldom seen in normal hosts. The illness may begin with insidious signs and symptoms, and the process may be more diffuse than when the same conditions are seen in other immune-compromised patients. Four patterns of disease occur in AIDS patients. The pulmonary pattern, the central nervous system pattern, the gastrointestinal pattern, and the pattern of fever of unknown origin. Most patients who recover from a given opportunistic infection subsequently either have a relapse or develop a new type of infection. Many patients continue to have a wasting syndrome and experience such infections as oral thrush. Feelings of depression and isolation are common among AIDS patients and can be intensified if health care workers display fear of the syndrome."	QİÇS
245	air	A predominantly mechanical mixture of a variety of individual gases forming the earth's enveloping atmosphere.	hava
250	air conditioning	"A system or process for controlling the temperature and sometimes the humidity and purity of the air in a house, etc."	havalandırma
253	aircraft	"Any structure, machine, or contrivance, especially a vehicle, designed to be supported by the air, either by the dynamic action of the air upon the surfaces of the structure or object or by its own buoyancy."	uçuş aparatı
255	aircraft engine emission	"The formation and discharge of gaseous and particulate pollutants into the environment, especially the stratosphere, chiefly from airplanes, helicopters and other high-altitude aircrafts."	uçuş aparatları mühərriklərinin tullantıları
256	aircraft noise	"Effective sound output of the various sources of noise associated with aircraft operation, such as propeller and engine exhaust, jet noise, and sonic boom."	uçuş aparatları tərəfindən yaradılan küy 
262	air movement	"Air movements within the Earth's atmospheric circulation; also called planetary winds. Two main components are recognized: first, the latitudinal meridional component due to the Coriolis force (a deflecting motion or force discussed by G.G. de Coriolis in 1835. The rotation of the Earth causes a body moving across its surface to be deflected to the right in the N hemisphere and to the left in the S hemisphere); and secondly, the longitudinal component and the vertical movement, resulting largely from varying pressure distributions due to differential heating and cooling of the Earth's surface."	havanın hərəkəti
263	air pollutant	"Any pollutant agent or combination of such agents, including any physical, chemical, biological, radioactive substance or matter which is emitted into or otherwise enters the ambient air and can, in high enough concentrations, harm humans, animals, vegetation or material."	havanı çirkləndirən maddə
265	air pollution	"Presence in the atmosphere of large quantities of gases, solids and radiation produced by the burning of natural and artificial fuels, chemical and other industrial processes and nuclear explosions."	havanın çirklənməsi
267	airport	"A landing and taking-off area for civil aircraft, usually with surfaced runways and aircraft maintenance and passenger facilities."	aeroport
270	air quality	The degree to which air is polluted; the type and maximum concentration of man-produced pollutants that should be permitted in the atmosphere.	havanın keyfiyyəti
272	air quality control	The measurement of ambient air-pollution concentrations in order to determine whether there is a problem in a given region.	havanın keyfiyyətinə nəzarət
274	air quality management	"Regulate and plan and work toward the accomplishment of completion of stated goals, objectives and mission pertaining to air quality."	hava keyfiyyətinin idarə olunması
277	air safety	"Any measure, technique or design intended to reduce the risk of harm posed by either moving vehicles or projectiles above the earth's surface or pollutants to the earth's atmosphere."	hava təhlükəsizliyi
279	airspace planning	The activity of organizing or preparing for transportation through the atmosphere above earth's surface.	aerokosmik planlaşdırma
281	air temperature	The temperature of the atmosphere which represents the average kinetic energy of the molecular motion in a small region and is defined in terms of a standard or calibrated thermometer in thermal equilibrium with the air.	havanın hərarəti
282	air traffic	Aircraft moving in flight or on airport runways.	hava nəqliyyatının hərəkəti
285	air traffic law	International rules and conventions relating to air transportation.	hava nəqliyyatı sahəsində qanunvericilik
286	air traffic regulation		hava daşımaları sahəsində normativ sənədlər
289	air transportation	"The use of aircraft, predominantly airplanes, to move passengers and cargo."	hava daşımaları 
290	air-water interaction	"The physical processes at the air-water interface: momentum, heat and mass transfer across the air-water interface, mixing of surface water by wind stress and wave breaking, directional wave spectra and wave forces on offshore structures. The air-water interaction is measured by the turbulence and gas exchanges resulting from the mixing of the water column by wind."	"""hava-su"" qarşılıqlı əlaqəsi"
293	alarm	Signalling an impending danger in order to call attention to some event or condition.	həyəcan
298	alcohol	"A group of organic chemical compounds composed of carbon, hydrogen, and oxygen. The molecules in the series vary in chain length and are composed of a hydrocarbon plus a hydroxyl group. Alcohol includes methanol and ethanol."	alkoqol
301	alga	"Simple, green, aquatic plants without stems, roots or leaves. They are among the microscopic organisms that form the start of the food chain. Algae are found floating in the sea and fresh water, but they also grow on the surface of damp walls, rocks, the bark of trees and on soil. They contain chlorophyll and other pigments that let them grow by photosynthesis. On land, algae can be useful in improving the fertility of soil by nitrogen fixation."	yosun
303	algal bloom	Excessive and rapid growth of algae and other aquatic plants when they are stimulated to grow too quickly by pollution. It takes place when there are too many nutrients in the water and is aggravated when accompanied by a rise in temperature. Although the algae grow quickly they soon die because they have swallowed up all the water's nutrients. As they decompose they tend to rise to the surface and form a green slime. Algal bloom have increased because higher levels of nitrogen and phosphates from agricultural areas have leached from the fields into water courses.	yosunların inkişafı
305	algicide	Any substance or chemical applied to kill or control algal growth.	alqisid
308	alicyclic compound	"Any substance composed of two or more unlike atoms held together by chemical bonds characterized by straight-chained, branched or cyclic properties."	alitsiklik birləşmə
309	alicyclic hydrocarbon	A class of organic compounds containing only carbon and hydrogen atoms joined to form one or more rings and having the properties of both aliphatic and cyclic substances.	alitsiklik karbohidrat
311	aliphatic compound	Any organic compound of hydrogen and carbon characterized by a straight chain of the carbon atoms.	alifatik birləşmə
312	aliphatic hydrocarbon	"Hydrocarbons having an open chain of carbon atoms, whether normal or forked, saturated or unsaturated."	alifatik karbohidrat
313	alkali land	"Any geomorphic area, often a level lake-like plain, with soil containing a high percentage of mineral salts, located especially in arid regions."	qələvi sahə
319	alkali soil	"Soil that contains sufficient exchangeable sodium to interfere with water penetration and crop growth, either with or without appreciable quantities of soluble salts."	qələvi torpaq
322	alkane	"Paraffins. A homologous series of saturated hydrocarbons having the general formula CnH2n+2. Their systematic names end in -ane. They are chemically inert, stable, and flammable. The first four members of the series (methane, ethane, propane, butane) are gases at ordinary temperatures; the next eleven are liquids, and form the main constituents of paraffin oil; the higher members are solids. Paraffin waxs consists mainly of higher alkanes."	alkan
326	alkyl compound	Compound containing one or more alkyl radicals.	alkil birləşmə
329	allergen	"Any antigen, such as pollen, a drug, or food, that induces an allergic state in humans or animals."	allergen
332	allergy	"A condition of abnormal sensitivity in certain individuals to contact with substances such as proteins, pollens, bacteria, and certain foods. This contact may result in exaggerated physiologic responses such as hay fever, asthma, and in severe enough situations, anaphylactic shock."	allergiya
335	allocation	The assignment or allotment of resources to various uses in accord with a stated goal or policy.	paylama
336	allocation plan	"The formulation and application of such measures as laws, economic plans, urbanism, etc., to ensure a balance between the population's needs and the country's resources."	maddi resursların bölüşdürülməsi planı
340	alloy	"Any of a large number of substances having metallic properties and consisting of two or more elements; with few exceptions, the components are usually metallic elements."	xəlitə
341	alluvion	"An overflowing; an inundation or flood, especially when the water is charged with much suspended material."	"sel, subasma"
342	alpha radiation	A stream of alpha particles which are ejected from many radioactive substances having a penetrating power of a few cm in air but can be stopped by a thin piece of paper.	alfa-şüalanma
349	alternative material	"Materials employed in the place of others which are more dangerous for the environment, such as phosphate substitutes in detergents."	alternativ material
351	alternative technology	"Technology that, as an alternative to resource-intensive and wasteful industry, aims to utilize resources sparingly, with minimum damage to the environment, at affordable cost and with a possible degree of control over the processes."	alternativ texnologiya
352	alumina	"A natural or synthetic oxide of aluminum widely distributed in nature, often found as a constituent part of clays, feldspars, micas and other minerals, and as a major component of bauxite."	gil-torpaq
353	aluminium	"A light white metal, ductile and malleable, and a good conductor of electricity. It occurs widely in nature in clays and is the third most abundant element in the Earth's crust. It is extracted mainly from bauxite by electrolysis of a molten mixture of purified bauxite and cryolite. The metal and its alloys are used for aircraft, cooking utensils, electrical apparatus, and for many other purposes where its light weight is an advantage. Aluminium became implicated as an environmental health hazard in the 1980s on two counts. Biomedical scientists looking for possible causes of Alzheimer's disease, the premature senility indicated by loss of memory and confusion, found a circumstantial link with aluminium. The theory is a controversial one."	alüminium
354	aluminium container	A can or box made of aluminium in which material is held or carried.	alüminium konteyner
355	aluminium content	Amount of aluminium contained in a solution.	alüminium tərkibi
356	aluminium industry	A sector of the economy in which an aggregate of commercial enterprises is engaged in the mining and processing of aluminum.	alüminium sənayesi
360	alveolus	"A tiny, thin-walled, capillary-rich sac in the lungs where the exchange of oxygen and carbon dioxide takes place. Also called air sac."	alveol
363	amalgam	A solution of a metal in mercury.	amalqam
367	Americas	"The landmasses and islands of North America, South America, Mexico, and Central America included in the Western Hemisphere."	Amerika
370	Ames test	"A bioassay developed by Bruce N. Ames in 1974, performed on bacteria to assess the capability of environmental chemicals to cause mutations."	Ames (Eyms) testi
372	amine	One of a class of organic compounds which can be considered to be derived from ammonia by replacement of one or more hydrogens by organic radicals.	amin
373	amino acid	"Organic compounds containing a carboxyl group (-COOH) and an amino group (-NH2). About 30 amino acids are known. They are fundamental constituents of living matter because protein molecules are made up of many amino acid molecules combined together. Amino acids are synthesized by green plants and some bacteria, but some (arginine, histidine, lysine. threonine, methionine, isoleucine, leucine, valine, phenylalanine, tryptophane) cannot be synthesized by animals and therefore are essential constituents of their diet. Proteins from specific plants may lack certain amino acids, so a vegetarian diet must include a wide range of plant products."	amin turşusu
375	ammonia	"A colorless gaseous alkaline compound that is very soluble in water, has a characteristic pungent odour, is lighter than air, and is formed as a result of the decomposition of most nitrogenous organic material."	ammonyak
378	ammonification	"Addition of ammonia or ammonia compounds, especially to the soil."	ammonifikasiya
379	ammonium	The radical NH4+.	ammonium
387	amphibian	"A class of vertebrate animals characterized by a moist, glandular skin, gills at some stage of development, and no amnion during the embryonic stage."	amfibiya
388	amusement park	"An open-air entertainment area consisting of stalls, side shows etc."	əyləncə parkı
391	anaerobic condition	A mode of life carried on in the absence of molecular oxygen.	anaerob şərait
394	anaerobic process	A process from which air or oxygen not in chemical combination is excluded.	anaerob proses
397	analysis	Examination or determination.	analiz
398	analysis programme	No definition needed.	analiz proqramı
399	analytical chemistry	The branch of chemistry dealing with techniques which yield any type of information about chemical systems.	analitik kimya
401	analytical equipment	Equipment employed in analytical techniques.	analitik avadanlıq
402	analytical method	No definition needed.	analitik metod
404	"swans, geese and ducks"	"A family of waterfowl, including ducks, gees, mergansers, pochards and swans, in the order Anseriformes."	"qu quşları, qazlar və ördəklər"
406	anatomy	The science concerned with the physical structure of animals and plants.	anatomiya
411	angiosperm	"The class of seed plants that includes all the flowering plants, characterized by the possession of flowers. The ovules, which become seeds after fertilization, are enclosed in ovaries. The xylem contains true vessels. The angiospermae are divided into two subclasses: Monocotyledoneae and Dycotiledoneae."	çiçəkli bitkilər
412	angling	"The art or sport of catching fish with a rod and line and a baited hook or other lure, such as a fly."	idman balıqçılığı
415	animal behaviour	"Behaviour of animals in their normal environment, including all the processes, both internal and external, by which they respond to changes in their environment."	heyvan davranışı
417	animal disease		heyvan xəstəlikləri
419	animal dung as fuel	"Excrement from animals that may be dried and burned to generate energy or converted to liquid or gaseous fuels, such as methane, through chemical processes."	heyvan nəcisi yanacaq kimi
420	animal ecology	A study of the relationships of animals to their environment.	heyvanların ekologiyası
421	animal experiment	Investigation carried out in animals for research purposes.	heyvanlar üzərində eksperimentlər
423	animal foodstuff	Any crops or other food substances for animal consumption.	heyvan yemi
425	animal genetics	"The scientific study of the hereditary material of animals for theoretical and practical applications such as increased population, conservation and disease research."	heyvan genetikası
428	animal housing	"Any kind of shelter, refuge affording protection to animals."	heyvanlar üçün sığınacaq
429	animal husbandry	A branch of agriculture concerned with the breeding and feeding of domestic animals.	heyvandarlıq
432	animal manure	Animal excreta collected from stables and barnyards with or without litter; used to enrich the soil.	peyin
434	animal noise	Noise caused by animals such as dogs kept in kennels or in private homes as pets.	heyvanların törətdiyi səs-küy
435	animal nutrition	"Ingestion, digestion and/or assimilation of food by animals."	heyvanların yemlənməsi
437	animal physiology	Study of the normal processes and metabolic functions of animal organisms.	heyvan fiziologiyası
441	animal production	No definition needed.	heyvandarlıq məhsullarının istehsalı
442	animal product	No definition needed.	heyvandarlıq məhsulu 
443	animal protection	"Precautionary actions or procedures taken to prevent or reduce the harm to sentient, non-human species, posed, in most cases, by humans."	heyvanların müdafiəsi
445	animal resource	No definition needed.	heyvan resursları
448	animal for slaughter	Animals bred and killed for the production of food.	kəsilən heyvanlar
449	animal shelter	A protection providing housing for animals in bad weather.	heyvanların saxlanması üçün yer
450	animal	"Any living organism characterized by voluntary movement, the possession of cells with noncellulose cell walls and specialized sense organs enabling rapid response to stimuli, and the ingestion of complex organic substances such as plants and other animals."	heyvan
451	animal textile fibre	"A filament or threadlike strand derived from animals that manufacturers use to produce clothes or other goods that require weaving, knitting or felting, which include silk, wool, mohair and other forms of animal hair."	heyvan mənşəli tekstil lifi
452	animal trade	"The process or act of exchanging, buying or selling animals, especially livestock."	heyvan ticarəti
453	animal waste	"Discarded material from industries directly associated with the raising of animals, such as those wastes produced by livestock farming (manure, milk, etc.), meat production and animal testing (animal bodies, animal parts, feathers, etc.) and fur breeding (fur, blood, etc.)."	heyvandarlıq tullantıları
454	anion	An ion that is negatively charged.	anion
456	annelid	"Any worms of the phylum Anellida, in which the body is divided into segments both internally and externally. The group includes the earthworms, lugworm, ragworm, and leeches."	həlqəvari qurdlar
458	antagonism	The situation in which two chemicals upon interaction interfere in such a way that the action of one partially or completely inhibits the effects of the other.	antaqonizm
460	antagonistic effect of toxic substances		toksik maddələrin antaqonist effekti
