code	 English terms	English definitions	Arabic translated terms 	Arabic translated definitions 				
66	actinide	"A group of 15 radioactive elements some of which occur naturally while others are produced in nuclear reactions. They include plutonium, americium and neptunium. The health hazard presented by the actinides, if they are released into the environment, comes from the potency of their radioactive characteristics. They are alpha-emitters, and therefore can cause intense localized damage in tissues if absorbed into the body."	أكتينيد	"مجموعة تضم 15 عنصرا مشعا بعضها يظهر بصورة طبيعية والبعض الآخر يتولد في التفاعلات النووية.، وتشتمل على البلوتونيوم والأمريكيوم والنبتونيوم. وتأتي الأخطار الصحية الناجمة عن الأكتينيدات، إذا  أطلقت إلى حيز البيئة، من فعالية خواصها المشعة. إذ تنبعث عنها أشعة ألفا، ومن ثم يمكن أن تسبب أضرارا بالغة في بقع محدودة من الأنسجة إذا امتصها الجسم."				
68	actinium	"A radioactive element of the actinide series, occurring as a decay product of uranium. It is used as an alpha particle source and in neutron production."	أكتينيوم	عنصر مشع من سلسلة الأكتينيدات يظهر نتيجة لتحلل اليورانيوم. ويستخدم كمصدر لجزيئات ألفا كما يستخدم في توليد النيوترونات.				
71	action group	A collection of persons united to address specific sociopolitical or socioeconomic concerns.	مجموعة عمل	مجموعة من الأشخاص يجتمعون للتعامل مع تخوفات اجتماعية سياسة أو اجتماعية اقتصادية معينة.				
72	activated carbon	"A powdered, granular or pelleted form of amorphous carbon characterized by a very large surface area per unit volume because of an enormous number of fine pores."	كربون مُنَشَّط	"شكل من أشكال الكربون اللابللوري في صورة مسحوق أو حبيبات أو كريات، يتسم باتساع مساحة سطحه بشدة لكل وحدة من وحدات الحجم بسبب العدد الهائل من المسام الدقيقة التي يحتوي عليها.  "				
73	activated sludge	Sludge that has been aerated and subjected to bacterial action; used to speed breakdown of organism matter in raw sewage during secondary waste treatment.	طين مُنَشَّط	الحمأة التى تتم تهويتها وإخضاعها لفعل البكتيريا؛ وتستخدم لتسريع تحلل المواد العضوية في رواسب الصرف الصحي خلال المعالجة الثانوية للمخلفات. 				
77	active participation	"The involvement, either by an individual or a group of individuals, in their own governance or other activities, with the purpose of exerting influence."	مشاركة نشطة	اشتراك الفرد أو جماعة من الأفراد في حكم أنفسهم أو غير ذلك من الأنشطة بغرض إحداث أثر 				
78	intervention on land	Stepping in or participating in problem solving efforts for troublesome or perplexing situations involving ground areas or the earth's surface.	التدخل في الأرض	التدخل لحل مشكلة أو المشاركة في جهود حلها في المواقف الإشكالية أو المربكة التي تتعلق بمساحات على اليابسة أو سطح الأرض.				
79	act	"1) Something done voluntarily by a person, and of such a nature that certain legal consequences attach to it.
2) Documents, decrees, edicts, laws, judgments, etc."	فعل (قانوني)	"1) إقدام المرء طواعية على أمر ما من شأنه أن تترتب عليه تبعات قانونية معينة. 2( ائق أو قرارات أو مراسيم أو قوانين أو أحكام، إلخ."				
81	adaptable species		أنواع قادرة على التكيف					
83	adaptation period		فترة التكيف - الفترة اللازمة للتكيف					
84	chemical addition	Chemical reaction in which one or more of the double bonds or triple bonds in an unsaturated compound is converted to a single bond by the addition of other atoms or groups.	إضافة كيميائية	تفاعل كيميائي تتحول فيه رابطة أو أكثر من الروابط الثنائية أو الثلاثية في مركب غير مشبع إلى رابطة أحادية عن طريق إضافة ذرات أو مجموعات أخرى.				
86	additional packaging	Additional packaging around the normal sales packaging. For example as protection against theft or for the purpose of advertising; the customer may leave the additional packaging in the shop for waste collection.	تغليف إضافي	تغليف إضافي حول التغليف العادي للمبيعات. مثال ذلك للحماية من السرقة أو بغرض الإعلان؛ وقد يترك الزبون هذا التغليف الإضافي في المتجر لتتم إزالته مع مخلفات المتجر.				
87	addition polymer	"A polymer formed by the chain addition of unsaturated monomer molecules, such as olefins, with one another without the formation of a by-product, as water; examples are polyethylene, polypropylene and polystyrene."	بلمرة بالإضافة	"بلمرة تتكون بالإضافة المتسلسلة لجزيئات مونومرات غير مشبعة مثل الأوليفينات لبعضها البعض دون تكوين ناتج ثانوي مثل الماء، ومن أمثلتها البوليثيلين، والبوليبروبيلين، والبوليستايرين. "				
88	additive	"Substances mixed in small quantities with another product to modify its chemical or physical state. Additives are used to make food look visually more attractive, in the case of colouring agents, as well as to preserve and extend the life of the product."	إضافات	"مواد تخلط بكميات ضئيلة مع منتج آخر لتعديل حالته الكيميائية أو الفيزيائية. وتستخدم الإضافات لجعل الأغذية تظهر بصورة أكثر جاذبية، في حالة مكسبات الألوان، إلى جانب حفظ المنتج وإطالة عمره.  "				
90	adhesive	"Substance used for sticking objects together, such as glue, cement, or paste."	لاصق	مادة تستخدم للصق الأشياء معا مثل الصمغ أو الأسمنت أو المعجون.				
91	acceptable daily intake	"The measurement of the amount of any chemical substance that can be safely consumed by a human being in a day. Calculations are usually based on the maximum level of a substance that can be fed to animals without producing any harmful effects. This is divided by a safety factor"" to allow for the differences between animals and humans and to take account of the variation in human diets."""	جرعة يومية مقبولة	"قياس مقدار أي مادة كيميائية يمكن للإنسان ابتلاعه على نحو آمن في اليوم الواحد. ويعتمد احتسابه عادة على أساس أقصى كمية يمكن إعطاؤها من هذه المادة للحيوان دون أن تنتج عنها أي آثار ضارة، ثم قسمتها على عامل السلامة للتعويض عن الفروق بين الإنسان والحيوان ومراعاة التفاوت بين نظم التغذية المختلفة لدى الإنسان."				
95	administration	"The management or direction of the affairs of a public or private office, business or organization."	إدارة	إدارة أو توجيه شئون منصب أو عمل تجاري أو مؤسسة في القطاع العام أو الخاص. 				
100	administrative body	"Any governmental agency or organization charged with managing and implementing regulations, laws and government policies."	هيئة إدارية	أي جهاز حكومي أو مؤسسة حكومية مكلفة بإدارة وتنفيذ اللوائح والقوانين والسياسات الحكومية.				
103	administrative competence	"The skill, knowledge, qualification, capacity or authority to manage or direct the affairs of a public or private office, business or organization."	كفاءة إدارية	المهارات أو المعارف أو المؤهلات أو القدرات أو السلطات اللازمة لإدارة أو توجيه شئون منصب أو عمل تجاري أو مؤسسة بالقطاع العام أو الخاص. 				
105	administrative fiat	"An authoritative decree, sanction or order issued from an office with executive or managerial authority, without necessarily having the force of law or its equivalent."	أمر إداري	قرار أو عقوبة أو أمر ذو طابع سلطوى صادر ممن يشغل منصبا ذا صلاحيات تنفيذية أو إدارية دون أن يكون له بالضرورة قوة القانون أو ما في حكمه. 				
107	administrative jurisdiction	"The extent, power or territory in which an office with executive or managerial authority administers justice or declares judgments."	ولاية إدارية	النطاق أو الصلاحية أو المنطقة التي يمكن خلالها لشاغل منصب معين ذي سلطات تنفيذية أو إدارية أن يقيم ميزان العدل أو يصدر الأحكام				
108	administrative law	"Body of law created by administrative agencies in the form of rules, regulations, orders and decisions to carry out regulatory powers and duties of such agencies."	قانون إداري	مجموعة قوانين سنتها أجهزة إدارية في صورة قواعد ولوائح وأوامر وقرارات لتنفيذ الصلاحيات والواجبات التنظيمية لهذه الأجهزة.				
111	administrative procedure		إجراء إداري					
112	administrative sanction	"Generally, any formal official imposition of penalty or fine; destruction, taking, seizure, or withholding of property; assessment of damages, reimbursement, restitution, compensation, costs, charges or fees; requirement, revocation or suspension of license; and taking other compulsory or restrictive action by organization, agency or its representative."	عقوبة إدارية	"بصفة عامة، فرض أي عقوبة أو غرامة رسمية؛ إزالة عقار أو مصادرته أو الاستيلاء عليه أو منع التصرف فيه؛ تقييم الخسائر أو رد النفقات أو إرجاع المستحقات أو التعويض أو التكاليف أو الرسوم أو المصروفات؛ اشتراط استصدار رخصة أو سحبها أو إيقافها؛ المصادرة أو إجراء إجباري أو تقييدي آخر من جانب المؤسسة أو الهيئة أو من يمثلها. "				
120	adsorption	"The physical or chemical bonding of molecules of gas, liquid or a dissolved substance to the external surface of a solid or the internal surface, if the material is porous, in a very thin layer."	امتصاص	"التربيط الكيميائي أو الفيزيائي لجزيئات غاز أو سائل أو مادة مذابة  بالسطح الخارجي لجسم صلب أو السطح الداخلي إذا كانت المادة مسامية، فى طبقة بالغة الرقة."				
121	adult	"A person who is fully grown, developed or of a specified age."	بالغ	الإنسان مكتمل النمو والتطور أو عندما يبلغ سنا معينة.				
122	adult education	"Any instruction or training, informal or formal, which is geared to persons of mature age, regardless of previous education, and typically offered by university extension programs, employers, correspondence courses or community groups."	تعليم الكبار	"أي توجيه أو تدريب رسمي أو غير رسمي موجه للبالغين بصرف النظر عن تعليمهم السابق، وعادة ما تقدمه برامج التعليم الممتد بالجامعات ويتيحه أصحاب الأعمال أو دورات التعلم بالمراسلة أو منظمات المجتمع المحلي. "				
126	advertisement	"The action of drawing public attention to goods, services or events, often through paid announcements in newspapers, magazines, television or radio."	إعلان	"عملية لفت انتباه الجمهور إلى سلع أو خدمات أو أحداث، وغالباً ما يتم ذلك من خلال الإعلانات مدفوعة الأجر في الصحف والمجلات والتلفاز والإذاعة."				
129	product advertising	"The creation and dissemination of paid announcements or public notices to draw attention to goods, services or events offered by some entity, usually for purchase."	إعلان عن منتج	"إعداد ونشر إعلانات مدفوعة الأجر أو لافتات عامة للفت الانتباه إلى سلع أو خدمات أو أحداث يقدمها  كيان ما، عادة ما تكون معروضة للبيع."				
130	advice	"An official notice, opinion, counsel or recommendation that is optional or at the receiver's discretion."	"إخطار، فتوى، توصية"	 رأي أو مشورة أو توصية رسمية يكون الأخذ بها اختياريا أو على عهدة مستقبلها.				
132	aeration	Exposition to the action of air.	تهوية	التعريض لتأثير الهواء.				
135	aerial photograph	"An image of the ground surface made on a light-sensitive material and taken at a high altitude from an aircraft, spacecraft or rocket."	صورة جوية	صورة لسطح الأرض مكونة بواسطة مادة حساسة للضوء وملتقطة على ارتفاع كبير من طائرة أو مركبة فضائية أو صاروخ.				
143	aerobic condition	Life common to the majority of animal and plants species requiring the presence of oxygen.	الظرف الهوائي	الحياة المعهودة عند معظم أنواع الحيوان والنبات التي تحتاج إلى وجود الأكسجين.				
146	aerobic process	A process requiring the presence of oxygen.	عملية هوائية	عملية تحتاج إلى وجود الأكسجين.				
148	aerobiology	"The study of the atmospheric dispersal of airborne fungus spores, pollen grains, and microorganisms; and, more broadly, of airborne propagules of algae and protozoans, minute insects such as aphids, and pollution gases and particles which exert specific biologic effects."	بيولوجيا الهواء	"دراسة الأنتشار الجوى للأنواع الفطرية وحبيبات اللقاح والكائنات متناهية الدقة المحمولة جوا  وبمعنى أشمل أجزاء التكاثر المحمولة جوا من الطحالب والكائنات الأولية، والحشرات الدقيقة مثل المنّ، وغازات وجزيئات التلوث التي تحدث آثارا بيولوجية معينة."				
151	aerodynamic noise	Acoustic noise caused by turbulent airflow over the surface of a body.	ضجيج بسبب ديناميكا الهواء	ضجيج صوتى ناجم عن اضطراب حركة  الهواء في انسيابه على سطح جسم ما.				
157	aerosol	A gaseous suspension of ultramicroscopic particles of a liquid or a solid.	أيروسول	معلق غازي لجزيئات مجهرية بالغة الدقة لسائل أو جسم صلب.				
163	aesthetics	"Considerations, values, and judgements pertaining to the quality of the human perceptual experience (including sight, sound, smell, touch, taste, and movement) evoked by phenomena or components of the environment."	جماليات	الاعتبارات والقيم والأحكام المتعلقة بنوعية الخبرة الإدراكية لدى الإنسان (بما في ذلك الإبصار والسمع والشم واللمس والذوق والحركة) التي تستثيرها ظواهر الطبيعة أو مكوناتها.				
167	afforestation	"1) Establishment of a new forest by seeding or planting of nonforested land.
2) The planting of trees on land which was previously used for other uses than forestry.
3) The planting of trees in an area, or the management of an area to allow trees to regenerate or colonize naturally, in order to produce a forest."	تشجير	"1تأسيس غابة جديدة عن طريق البذر أو الغرس في أرض غير حرجية. 2 غرس أشجار في أرض كانت تستخدم سابقا لأغراض أخرى غير الزراعة الحرجية  3) غرس الأشجار في منطقة  ما أو إدارة المنطقة على نحو يتيح  للأشجار التعافي أو التكاثر بغزارة بصورة طبيعية، بغرض تكوين غابة.    "				
170	Africa	"The second largest of the continents, on the Mediterranean in the north, the Atlantic in the west, and the Red Sea, Gulf of Aden, and Indian Ocean in the east. The Sahara desert divides the continent unequally into North Africa and Africa south of Sahara. The largest lake is Lake Victoria and the chief rivers are the Nile, Niger, Congo, and Zambezi. The hottest continent, Africa has vast mineral resources, many of which are still undeveloped."	أفريقيا	"ثانية أكبر قارات العالم، يحدها البحر المتوسط شمالا والمحيط الأطلنطي غربا، والبحر الأحمر وخليج عدن والمحيط الهندي شرقا. تقسم الصحراء الكبري القارة الأفريقية إلى شطرين غير متساويين هما شمال أفريقيا وأفريقيا جنوب الصحراء. أكبر البحيرات فيها هي بحيرة فكتوريا وأنهارها الرئيسية هي النيل والنيجر والكونغو والزامبيزي. أفريقيا هي أشد القارات حرارة، وبها موارد معدنية ضخمة لا يزال الكثير منها غير مستغل حتى الآن."				
171	afterburning	"An afterburner is a gadget fitted to the exhaust flues of furnaces and also to the exhaust systems of motor vehicles. They remove polluting gases and particles, which are the result of incompletely combusted fuel, by incineration and break down other chemical molecules associated with combustion into inert chemicals."	ما بعد الاحتراق	"لاصق الاحتراق هو أداة أو جهاز يركب على الغازات العادمة في الأفران وأيضا على نظم طرد العادم في المركبات للقضاء على الغازات والجزيئات الملوثة الناجمة عن الاحتراق غير الكامل للوقود، وذلك بترميد وتفتيت الجزيئات الكيميائية الأخرى المرتبطة بالاحتراق لتحويلها إلى مواد كيميائية خاملة."				
173	age	"The period of time that a person, animal or plant has lived or is expected to live."	العُمر	المدة التي يعيشها أو التي يتوقع أن يعيشها الإنسان أو الحيوان أو النبات.				
182	agreement (legal)	"The coming together in accord of two minds on a given proposition. In law, a concord of understanding and intention between two or more parties with respect to the effect upon their relative rights and duties, of certain past or future facts or performances. The consent of two or more persons concerning respecting the transmission of some property, right, or benefits, with the view of contracting an obligation, a mutual obligation."	اتفاق (قانون)	اجتماع رأيين على فكرة معينة؛ في القانون معناه التوافق في الفهم والنوايا بين طرفين أو أكثر فيما يتعلق بتأثير حقائق معينة أو أداء معين في الماضي أو المستقبل على  الحقوق والواجبات النسبية لكل طرف. رضا شخصين أو أكثر فيما يتعلق باحترام نقل أملاك أو حقوق أو منافع معينة بغرض التعاقد على التزام مشترك.				
183	agreement (contract)	"An agreement, convention, or promise of two or more parties, by deed in writing, signed, and delivered, by which either of the parties pledges himself to the other that something is either done, or shall be done, or shall not be done, or stipulates for the truth of certain facts."	اتفاق (عقد)	"اتفاق أو معاهدة أو وعد بين طرفين أو أكثر، محرر كتابة، وموقع ومسلم، يتعهد بمقتضاه كل طرف للآخر بأن أمرا ما قد حدث أو سيحدث أو لن يحدث، أو ينص على صحة حقائق معينة."				
185	agricultural biotechnology		التكنولوجيا الحيوية الزراعية					
186	agricultural building	The buildings and adjacent service areas of a farm.	منشأة زراعية	المباني الخاصة بمزرعة وما يجاورها من مناطق خدمات.				
191	agricultural ecology		الإيكولوجيا الزراعية					
193	agricultural economics	"An applied social science that deals with the production, distribution, and consumption of agricultural or farming goods and services."	الاقتصاد الزراعي	علم اجتماعي تطبيقي يتناول إنتاج وتوزيع واستهلاك السلع والخدمات الزراعية.				
194	agricultural effluent	"Any solid, liquid or gas that enters the environment as a by-product of agricultural activities."	تدفقات زراعية	أي مواد صلبة أو سائلة أو غازية تدخل البيئة كنتاج ثانوي للعمليات الزراعية.				
195	agricultural engineering	A discipline concerned with developing and improving the means for providing food and fiber for mankind's needs.	الهندسة الزراعية	فرع من فروع المعرفة يعنى بتطوير وتحسين سبل توفير الغذاء والألياف لسد احتياجات الإنسان.				
197	agricultural equipment	"Machines utilized for tillage, planting, cultivation, and harvesting of crops."	آلات زراعية	"ماكينات تستخدم للحرث والغرس ، وزرع وحصد المحاصيل."				
199	agricultural exploitation	No definition needed.	استغلال زراعي	لا يحتاج إلى تعريف.				
202	agricultural land	"Land used primarily for the production of plant or animal crops, including arable agriculture, dairying, pasturage, apiaries, horticulture, floriculture, viticulture, animal husbandry and the necessary lands and structures needed for packing, processing, treating, or storing the produce."	أرض زراعية	"أرض تستخدم أساسا لإنتاج المحاصيل النباتية أو الحيوانية، وتتضمن الأراضي الصالحة للزراعة وإنتاج الألبان والرعي والمناحل والبستنة وزراعة الزهور والكروم وتربية الحيوان ، والأراضي اللازمة والمنشآت الضرورية لتعبئة المحاصيل وتجهيزها ومعالجتها وتخزينها. "				
204	agricultural landscape	No definition needed.	منظر طبيعي زراعي	لا يحتاج إلى تعريف.				
206	agricultural legislation	"Agricultural law is a blend of traditional fields of law including the law of contracts, bailments, torts, criminal, environmental, property, nuisance, wills and estates, and tax law. As such, it is a gathering of statutory and common law."	تشريع زراعي	التقنين الزراعي هو مزيج من المجالات التقليدية ا للقانون التي تتضمن قوانين العقد والوديعة والفعل الضار والقوانين الجنائية والبيئية والعقارية وقوانين الضرر والوصية والضياع والضرائب. وهكذا فإنه يجمع بين القانون المشرع والقانون العرفي.				
207	agricultural machinery	"Machines utilized for tillage, planting, cultivation and harvesting of crops. Despite its benefits in increasing yields, mechanisation has clearly had some adverse environmental effects: deep ploughing exposes more soil to wind and water erosion; crop residues can be removed as opposed to ploughing back into the soil; removal of residues can lead to a serious loss of organic content in the soil, which may increase the risk of soil erosion."	آلات زراعية	"ماكينات تستخدم للحرث والغرس وزرع وحصد المحاصيل. وعلى الرغم من فائدتها في زيادة المحصول فمن الواضح أن للميكنة بعض الآثار البيئية الضارة، فالحرث العميق يعرض قدرا أكبر من التربة للتعرية بفعل الرياح والماء، وقد تتم إزالة بقايا المحاصيل مقابل إعادتها إلى التربة مع عملية الحرث، وتؤدي عملية إزالة البقايا إلى فقد خطير للمحتوى العضوي للتربة، مما قد يزيد من خطر تعريتها."				
208	agricultural management	"The administration or handling of soil, crops and livestock."	إدارة زراعية	إدارة التربة والمحاصيل والثروة الحيوانية أو التعامل معها.				
210	agricultural method	"Practices and techniques employed in agriculture to improve yields and productivity. Over the last few decades they have undergone big changes: tilling, sowing and harvesting have become increasingly mechanised, and the methods of applying fertilisers and pesticides have become more sophisticated. Many changes within the agricultural system can be summed up by intensification"". The result and aim of intensification has been to achieve increases in production"	أسلوب الزراعة	"الممارسات والأساليب المتبعة في الزراعة لتحسين الغلة والإنتاجية. وقد شهدت تغيرات كبيرة على مدى العقود القليلة الماضية، فاصبحت الماكينات تتولى قدرا كبيرا من عملية الحرث والبذر والحصد، وتطورت أساليب استخدام الأسمدة والمبيدات. ويمكن تلخيص الكثير من التغيرات التي شهدها  النظام الزراعي  في مفهوم التكثيف؛ فالهدف والناتج من التكثيف الزراعي هو زيادة الإنتاج."				
212	agricultural pest	"Insects and mites that damage crops, weeds that compete with field crops for nutrients and water, plants that choke irrigation channels or drainage systems, rodents that eat young plants and grain, and birds that eat seedlings or stored foodstuffs."	آفة زراعية	"الحشرات والسوس الذي يفتك بالمحاصيل، والحشائش الضارة التي تنازع محاصيل الحقل نصيبها من الماء والعناصر الغذائية، والنباتات التي تسد القنوات أو نظم الصرف، والقوارض التي تأكل النباتات الصغيرة والحبوب، والطيور التي تأكل الشتلات أو المواد الغذائية المخزونة."				
213	agricultural planning		تخطيط زراعي	"وضع الخطط والتدابير اللازمة لتحقيق ناتج أكبر حجما وأكثر كفاءة لعملية الزراعة؛ والسياسة الزراعية السديدة ينبغي أن توفق بين ثلاثة احتياجات أساسية: إنتاج الغذاء والمنتجات الزراعية، وحماية البيئة ، وصيانة الهيكل الاجتماعي الاقتصادي للمناطق الريفية. "				
215	agricultural policy	"A course of action adopted by government or some other organization that determines how to deal with matters involving the cultivation of land; raising crops; feeding, breeding and raising livestock or poultry; and other farming issues."	سياسة زراعية	"مسار للعمل تتبناه الحكومة أو غيرها من المؤسسات لتحديد كيفية التعامل مع الأمور المتعلقة بزرع الأرض وتنمية المحاصيل ، وتغذية وتربية الثروة الحيوانية أو الداجنة وتحسينها ، وغير ذلك من القضايا الزراعية."				
